,Title,Link,modified,created
FALSE,"Big Fish Audio - Guitarra Spanish Guitar (WAV, AIFF, REX2, KONTAKT)",https://drive.google.com/file/d/13xwrW52_eCAnAu39MTT5nkRh6pRliWE3/view?usp=drivesdk,10/29/2020,10/29/2020
FALSE,Heavyocity - FORZO Modern Brass ,https://drive.google.com/file/d/1ywPRxB2E2wOjHKt7zAkL6ns8KXyx8ACX/view?usp=drivesdk,10/29/2020,10/29/2020
FALSE,Strezov Sampling - Storm Choir Ultimate  ,https://drive.google.com/file/d/1B2DiWvWp8a5KwAl500QbFcbEHYVT6J2l/view?usp=drivesdk,10/29/2020,10/29/2020
FALSE,Slate + Ash - Cycles v1.2.0 ,https://drive.google.com/file/d/19Zq6NadQlYn7h6VPZgwUrnJwAtRc39iT/view?usp=drivesdk,10/14/2020,10/14/2020
FALSE,Orchestral Tools - Metropolis Ark 3,https://drive.google.com/file/d/1FecV8RikUAtVboaDqr6VOshqFO3VkCXp/view?usp=drivesdk,10/12/2020,10/10/2020
FALSE,Orchestral Tools - Metropolis Ark 4,https://drive.google.com/file/d/1tG-4cCSkqbW_UXClIVIceLWNUFc5BIIM/view?usp=drivesdk,10/12/2020,4/20/2020
FALSE,Orange Tree Sample - Evolution Dracus v1.1.68 UPDATE ,https://drive.google.com/file/d/1cEnRM9m8CnZth-fa8KsUOb1-nggNdcZZ/view?usp=drivesdk,10/10/2020,10/10/2020
FALSE,Orange Tree Samples - Evolution Dracus v1.1.61 ,https://drive.google.com/file/d/1Hfuv3CKssSbwBTkvkQG9NPlX34s1haLf/view?usp=drivesdk,10/10/2020,10/10/2020
FALSE,Native Instruments - The Giant v1.2.0  ,https://drive.google.com/file/d/1NtPllcWgB5qViBdLyKZDiNHMdKs-CtnB/view?usp=drivesdk,10/10/2020,10/10/2020
FALSE,Audio Imperia - Nucleus ,https://drive.google.com/file/d/19Ofd2VQod_bOqhQ2iUURLx0KwweOLnm5/view?usp=drivesdk,10/10/2020,10/10/2020
FALSE,Orchestral Tools - Metropolis Ark 3 v1.1 Update,https://drive.google.com/file/d/1GrXICqBo4BppJ1l_IVQXATV6CaW6H1Ig/view?usp=drivesdk,10/10/2020,10/10/2020
FALSE,Native Instruments - Scarbee Rickenbacker Bass,https://drive.google.com/file/d/1SFDopWnIwbhC6b3sQEaJt2LFIvE8p2xR/view?usp=drivesdk,4/21/2020,4/20/2020
FALSE,Rigid Audio - Atheos,https://drive.google.com/file/d/1TZfx88ol2NjTUDC2zUyYQp9FD2jOsrlI/view?usp=drivesdk,9/22/2019,4/20/2020
FALSE,String Audio - ALCHEMIST 2 Cinematic Textures,https://drive.google.com/file/d/1cVCNcGMoxBpY-cSMA7-33esvYdLEH9az/view?usp=drivesdk,9/22/2019,4/20/2020
FALSE,Audiomodern - ATOM v2,https://drive.google.com/file/d/1AjqOfpgMaG_hwiawulu1l09CzuoP-W_a/view?usp=drivesdk,9/22/2019,4/20/2020
FALSE,Ilya Efimov - Total Guitar and Bass Bundle,https://drive.google.com/file/d/1MGMqmbzppT0zvzqATPEjDPjs6-sPMoXN/view?usp=drivesdk,9/22/2019,4/20/2020
FALSE,Session Guitarist - Strummed Acoustic 2 Library,https://drive.google.com/file/d/1_rrbtns3CNZ7QtqZKx_lggUr-murIoAG/view?usp=drivesdk,9/22/2019,4/20/2020
FALSE,Prominy - Hummingbird v1.2.0 Full,https://drive.google.com/file/d/1yBvx5JC_zHEYHod_cd5Z0u33pSEMF2Hi/view?usp=drivesdk,9/22/2019,4/20/2020
FALSE,Session Guitarist - Picked Acoustic Library,https://drive.google.com/file/d/1SGgGFjpceWe6vb7qdzTD7MvKFIUZfKu2/view?usp=drivesdk,9/22/2019,4/20/2020
FALSE,SL - ARPOLOGY CINEMATIC DIMENSIONS,https://drive.google.com/file/d/1EDfHBTvXjiicnd14bPKRI83vsYuC6wro/view?usp=drivesdk,9/19/2019,4/20/2020
FALSE,Orchestral Tools THE Orchestral Grands v1.3,https://drive.google.com/file/d/1JFZ_dn9cQuvWG1RKcTxZQ-IG5ID-l8Jb/view?usp=drivesdk,9/17/2019,4/20/2020
FALSE,ANALOG BRASS AND WINDS,https://drive.google.com/file/d/122gcQD7uz6OqgM_NA2sa-dDeKF0ZbmNp/view?usp=drivesdk,6/21/2019,4/20/2020
FALSE,Output Sounds - REV X-Loops v1.2,https://drive.google.com/file/d/1m9YInHXw5uU3TTGhnnnWfAv9XWp31Ag0/view?usp=drivesdk,6/21/2019,4/20/2020
FALSE,"Output - Movement 1.1.0.4 VST, VST3, AAX x86 x64",https://drive.google.com/file/d/17m35wjgVCRSUKsm48JrIovRdJiB7OsjG/view?usp=drivesdk,6/21/2019,4/20/2020
FALSE,Output Analog Strings KONTAKT,https://drive.google.com/file/d/1-IiKsb6yUoYuY8LsseFMYS9_mMhz77JH/view?usp=drivesdk,6/21/2019,4/20/2020
FALSE,Native.Instruments.Ethereal.Earth.KONTAKT.BLT,https://drive.google.com/file/d/1FHBZgi-5Gt_343-_18MDsfGiuUsAdZOp/view?usp=drivesdk,6/13/2019,4/20/2020
FALSE,Orange Tree Garden,https://drive.google.com/file/d/1gUOUO80TszsbqXdGTogkMZTG2L7aFgK9/view?usp=drivesdk,6/11/2019,4/20/2020
FALSE,Fable_Sounds_Broadway_LITEs_2.0.24,https://drive.google.com/file/d/1IvTZQRC3bsrlaIHW3lRKxLGwdFfw4bKL/view?usp=drivesdk,6/11/2019,4/20/2020
FALSE,Klusterkitt_Rezonator_1_1,https://drive.google.com/file/d/1p7ghsuvxHbdb5HvG_dmn61dZmSd2ddZb/view?usp=drivesdk,6/11/2019,4/20/2020
FALSE,Spitfire Iceni,https://drive.google.com/file/d/1MvY6t9fUPNknq4w8klVlwdwPay_sZ2sE/view?usp=drivesdk,6/11/2019,4/20/2020
FALSE,EWQL RA,https://drive.google.com/file/d/16o_gfP0VdSEGG4jE4BYE-75NLiesS69U/view?usp=drivesdk,6/3/2019,4/20/2020
FALSE,Sonuscore_Origins_6_Muted_Guitar_Harmonics,https://drive.google.com/file/d/1B0qZoghm24Qwylk9CGCC42lryfX7Q8_-/view?usp=drivesdk,5/24/2019,4/20/2020
FALSE,Native Instruments - Modular Icons,https://drive.google.com/file/d/1UDQp2rJtIMXloRUu2wxVEzkAy5wnUdj_/view?usp=drivesdk,5/24/2019,4/20/2020
FALSE,CineWinds Pro v1.3,https://drive.google.com/file/d/136_8bgxV9Lp_TtEZh_yRUnH-lNwapGBS/view?usp=drivesdk,5/24/2019,4/20/2020
FALSE,Evolution Infinity,https://drive.google.com/file/d/1HpaPL5Uh1eiosPbkH2ZJb9KEOZS9EdTg/view?usp=drivesdk,5/24/2019,4/20/2020
FALSE,Emotional Cello Library,https://drive.google.com/file/d/1yfksI7PYt-S0WwWeRXI56xQsZbFP8Biv/view?usp=drivesdk,5/24/2019,4/20/2020
FALSE,"Industrial Strength Records - Atmosfear (KONTAKT, NKI, WAV)",https://drive.google.com/file/d/1FFlXw8qL2-RAcp88mVMpGjYoolQ2IDoo/view?usp=drivesdk,5/13/2019,4/20/2020
FALSE,Wavesfactory Sharine,https://drive.google.com/file/d/14fr2W2BDOEoHHISVhnDoFxKftvG7uPxJ/view?usp=drivesdk,5/13/2019,4/20/2020
FALSE,Output - Signal v1.3,https://drive.google.com/file/d/11I3OUjzwH3a7ORA64Q8NayPbuhM3AEXu/view?usp=drivesdk,5/6/2019,4/20/2020
FALSE,Kontakt Factory Library,https://drive.google.com/file/d/1ZGLZVKl1wGZmW5-nkynXM2NH5kkWTC-M/view?usp=drivesdk,3/31/2019,4/20/2020
FALSE,Sonic Reality - Ocean Way Drums Gold,https://drive.google.com/file/d/1RpQaHwKlfw5gz2Pvot2nkS4cDgvIpTCh/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Wavesfactory - Tea Towel Drum,https://drive.google.com/file/d/1KoFQrIINBqmGi_nubokuQ_sXZiEYigyW/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Vir2 Instruments - Studio Kit Builder,https://drive.google.com/file/d/1KXNCG13p6vuV7T0s7c4A5raiAejTypiS/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,SonicCouture - Electro-Acoustic,https://drive.google.com/file/d/1HO4KOaiRK5c6pC_5NiunI35stRnlNoA-/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Wavesfactory - BlackToms,https://drive.google.com/file/d/1wKAhNCynImxPzxUDhIhlA17k0LxEn3FX/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,NaturalDrum - Natural Drum Kit,https://drive.google.com/file/d/1D5LnbOuIIzqOUBuZtdQb6dh6mHVr7Gs-/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Straight Ahead Samples - Straight Ahead! Jazz Drums,https://drive.google.com/file/d/1_8UVl1CUzQ6DHlmstGdsPwzBCYiPZfI6/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Wavesfactory - BrushDrums,https://drive.google.com/file/d/1Rbemh5ze7-qCU8GLVD74CuMFdqf65SQa/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Spitfire Audio - The Grange,https://drive.google.com/file/d/1zULl3MNEX0T7hlp_yFHdeam7fexF4s6R/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Native Instruments - Abbey Road 80_s Drummer v1.3,https://drive.google.com/file/d/1U7bNCjJzdEjctU_GP6GR0nowhNqkItt4/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Native Instruments - Abbey Road Modern Drummer v1.3,https://drive.google.com/file/d/1xvKyxFYqb1pJ0rNNtv0tk8BIySfiXLiV/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Native Instruments - Abbey Road 80_s Drummer,https://drive.google.com/file/d/1dsPjMKm7ojzsXGqLbVDyDrOrKeZqPy8J/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Native Instruments - Abbey Road 70_s Drummer,https://drive.google.com/file/d/1p-ZZi9skmR9c8YDdCknjej57dS13ZACG/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Native Instruments - Abbey Road 60_s Drummer,https://drive.google.com/file/d/1cne4F8QF4RViTJoydCEsxFK1fg_KHztc/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Native Instruments - Abbey Road Modern Drummer,https://drive.google.com/file/d/1uKEozd1kOum0Q81QsruhTj696FHFcjXP/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Native Instruments - Abbey Road 70_s Drummer v1.3,https://drive.google.com/file/d/1kY7ztQ8Oj64ylVXIfHVLoPjTIKXkWPWg/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Native Instruments - Abbey Road Vintage Drummer,https://drive.google.com/file/d/1nLvwN_rhugqqsOJva-vlHNHASZx4-cOR/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Native Instruments - Drumlab,https://drive.google.com/file/d/1PLHYkmIlFtCXJPORUl_xESSg0pWGO3Di/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Native Instruments - Abbey Road Vintage Drummer v1.3,https://drive.google.com/file/d/1ofb2iQbIhB7DyH-gyEGo_2PUbwfmPkDL/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Native Instruments - Abbey Road 60_s Drummer v1.3 ,https://drive.google.com/file/d/1N5XxQcOH2lGp6PLTN44Pl1RnhFS1rImQ/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Native Instruments - Abbey Road 50s Drummer,https://drive.google.com/file/d/1ZNETbBatwpNtP4PPGriW4S9DRCafjENK/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Impact Soundworks - Shreddage Drums,https://drive.google.com/file/d/1CXdRwzc-MCbZgz4R5Rsbr-ejwVMJJY-U/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Big Fish Audio - The Black Kit,https://drive.google.com/file/d/1Lah90-GPMiF2NVDw4t0WEkKwmnvjoSeJ/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,8Dio - Adagio Violas,https://drive.google.com/file/d/123IUmAVxLx1sSvLyF_FTRd4erROW-xNY/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Big Fish Audio - Essential Brushes,https://drive.google.com/file/d/1JnsSDfU8jN5rWuyDIkHlvMUXGq8HsZyX/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,8Dio - Zeus,https://drive.google.com/file/d/1ng7f43ECWQc6wbfS36lu-rr0QXDQy0uc/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,8Diо - Аdаgiо Strings Вundlе,https://drive.google.com/file/d/1voDEy23iTl18kmVNxW8A28vj5pLD2fU0/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Cinematic Strings - Monster Staccatos,https://drive.google.com/file/d/1wlPcKh9FszO7hEccecjYhq2Ju1wUX3__/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,8Dio - Adagio Basses ,https://drive.google.com/file/d/1QAj90RMTQ8GwYq5Ff14xbmY3BgylYj4r/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,8Dio - Advanced Drum Series - Blackbird,https://drive.google.com/file/d/1_zfQ8R2TZ4v_anX9fDqoGL_BbvkdSvzB/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Orchestral Tools - Berlin Strings,https://drive.google.com/file/d/1wlsgAeV9QCvkUjFH5TV1oRwGe1866TyC/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Cinematic Strings - Cinematic Strings Pro Edition,https://drive.google.com/file/d/1IxhzgMD2nImWxGbFjkgg2m49b3QOj7fU/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Cinesamples - CineStrings Solo,https://drive.google.com/file/d/1ffjx7aV8CkzyY3CtSd8emaGap8k7j_z1/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Cinematic Strings - Cinematic Strings 2.1,https://drive.google.com/file/d/1YvIKTnxvmTp_KIQjQV4B1iq2khMRB53P/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Cinesamples - CineStrings Runs,https://drive.google.com/file/d/1eriNN3RNvoNJ4bfq6kgq4vp8oJaduUDF/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Dynamic Sound Sampling - Orchestral String Arpeggios Part 1 Sections,https://drive.google.com/file/d/13Q17ytN4kEpbZ-b8UAffI29-KzQmTYO3/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Orchestral Tools - Berlin Strings v2.5 Update,https://drive.google.com/file/d/1ugC76UyW_qEuUEsVdThdWmJ7cBoxymFT/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Dynamic Sound Sampling - Orchestral String Arpeggios Part 2 Solos,https://drive.google.com/file/d/1UYjqFjQTMSBgu6Eya2uG36ZPa6aHAkCA/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Cinesamples - CineStrings CORE,https://drive.google.com/file/d/1ZxCfj6yAmOkXe8wdTJND-UE1yywiFm5L/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Embertone - Blakus Cello,https://drive.google.com/file/d/1L2z6AQoQ45l7RjYXcT7C4-Oq6OHfYgld/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Embertone - Leonid Bass,https://drive.google.com/file/d/1ebdhpJDYHtaWNh-8Gf3MsWvrx3rn70oU/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Orchestral Tools - Berlin Strings Expansion E - SFX String Effects v2.1,https://drive.google.com/file/d/1olsZDFmItBdB0uozxxFTPlnKqTBpmAbh/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Orchestral Tools - Berlin Strings Expansion A - Special Bows v2.1,https://drive.google.com/file/d/1FVOcj0LHd_af1xVRmrm7znWNkoGqjvBn/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Orchestral Tools - Berlin Strings Expansion B - Special Bows II v2.1,https://drive.google.com/file/d/1R11dmiG6inrcXKvf3ifqV772HPQZQPEO/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Embertone - Fischer Viola,https://drive.google.com/file/d/1aa_KkxGowocy3jp-u4RDCrikD_rS8SEn/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Embertone - Friedlander Violin v.1.0.1,https://drive.google.com/file/d/1oD0LTWOe3-j00FNi0sRhZklEUiCW1FER/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Orchestral Tools - Berlin Strings Expansion D - First Chairs v2.1,https://drive.google.com/file/d/1RNOYqLDTLHrmYzPtyXQOZUoTQGsrQosZ/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,SONiVOX Sonic Implants - Symphonic Strings Collection. Part 1,https://drive.google.com/file/d/1CsQ7pfNjmBWr7b3D5l8NKxsWrGOSZB83/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,SONiVOX Sonic Implants - Symphonic Strings Collection. Part 3,https://drive.google.com/file/d/1yg3qjcjeYkOczX0QVz3p0ChUQM28Q0A3/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Orchestral Tools - Soloists II Nocturne Cello Part 1,https://drive.google.com/file/d/1RCAtPK4cYx9x1hfOQKbXZYP3W65Xc-xu/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,SONiVOX Sonic Implants - Symphonic Strings Collection. Part 2,https://drive.google.com/file/d/1rRqTv0nDGwU1ItxpFfboRzT4fFwjwd-e/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Orchestral Tools - Soloists I Nocturne Violin,https://drive.google.com/file/d/1O77vlh-rKVEy-e8PJLItb_AWAbVKl9_N/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Strezov Sampling - Cornucopia Strings 1.2 Part 1,https://drive.google.com/file/d/1y7tKFuMqco9r5aPpMGYx26jjaE0dAm60/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Strezov Sampling - Cornucopia Strings 1.2 Part 2,https://drive.google.com/file/d/1VP4M8_sTl4Fg4QURnVDzIomYfgbkCyPw/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Spitfire Audio - BML Sable Vol.1,https://drive.google.com/file/d/1aU7HrPdGzlDkFQM2xW7qOIyWoMtRNd1z/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,East West Quantum Leap - Symphonic Orchestra Platinum,https://drive.google.com/file/d/14Hc2MVbLGwTNDRqKzqRcyJ6-tpSs6HVQ/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,East West Quantum Leap - Symphonic Orchestra Platinum Pro XP Strings,https://drive.google.com/file/d/1lwWTZTjM9wvmexP2Z4ajpTCz6hJAG93l/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,East West Quantum Leap - Symphonic Orchestra Platinum Pro XP Brass,https://drive.google.com/file/d/18z_JApv5eIK1SBkDmZD553hGatpPrh30/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,East West Quantum Leap - Symphonic Orchestra Platinum Pro XP Woodwinds,https://drive.google.com/file/d/192WP56G84q-QaK_aiRdz5aMvPu4RrIzM/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,ProjectSAM - Symphobia Colours Orchestrator,https://drive.google.com/file/d/14dRh8d2gyxmkQXfKLaeytnDR8fDgQ5lM/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,East West Quantum Leap - Symphonic Orchestra Platinum Pro XP Percussion,https://drive.google.com/file/d/1LFWTfwIF2MaBmk71uJx9DkDexOuZJNUo/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Sonokinetic - Da Capo Part 1,https://drive.google.com/file/d/1-rHD-XYirxf1s07La6qUUw9DDwTdolea/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,ProjectSAM - Symphobia 3 Lumina,https://drive.google.com/file/d/1QtPwrM2nBqSK4wOlqg6cKwFT8ZlATvrx/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,ProjectSAM - Symphobia Colours Animator,https://drive.google.com/file/d/1pZTxb8qj7BNU2Y6MqhRwGvoCQTsPPHrj/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,ProjectSAM - Symphobia 2,https://drive.google.com/file/d/1PnS9dhiSbIRXmX9zZa6Zf-UvwT3yEiEU/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,ProjectSAM - Symphobia 2 v1.5,https://drive.google.com/file/d/1xyzNDJOjMt2ZyCISpXJV1LgkOrsJSBMK/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,ProjectSAM - Symphobia 2 (1.3.3),https://drive.google.com/file/d/18bg3sa1Cbk7GGkfjSdE2BuvTB1HnId36/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Sonokinetic - Da Capo Part 2,https://drive.google.com/file/d/1SOSTTy1Tjam_u-EkM9v_6nGNK1Z7Ls1M/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,ProjectSAM - Symphobia 3 Lumina v1.5,https://drive.google.com/file/d/1jNHwFBfrmCC7FVoQ1ETY4_EfttpwGjYi/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,ProjectSAM - Symphobia 1 v1.5,https://drive.google.com/file/d/1cGSTJEpEKWVgCmCoBOv8qC482fp51TO5/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Spitfire Audio - Albion ONE v1.2,https://drive.google.com/file/d/10F-dPEFa8kWBB3nzSTrlSOLnJfZFrgl3/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Spitfire Audio - Albion II Loegria REDUX,https://drive.google.com/file/d/1ZuGLSAWU4YxEMf7fkzcWOgGnm6-YjsQY/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,ProjectSAM - Symphobia 1 (1.2),https://drive.google.com/file/d/1o5EEEnBnBh_xyy91Zg95GZDvX16e-qpu/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Spitfire Audio - Albion III Iceni REDUX v2.1,https://drive.google.com/file/d/1DFLBAWEjFU0QlK6Ge4_0PA0tRal805ta/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Spitfire Audio - Albion II Loegria REDUX v3.22,https://drive.google.com/file/d/1VSQY-81zxeMBq_7ls_JBfnk4byMyG77j/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Orchestral Tools - Berlin Brass EXP C SFX French Horns v2.1,https://drive.google.com/file/d/196u26BZ9dVfL-SnTF2n7QUcPpV7HL-Ju/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Spitfire Audio - Albion I REDUX,https://drive.google.com/file/d/1axLHTxL6cWn5zh0FIRT5GQWxq_C7Rcyw/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,8Dio - Lacrimosa Epic Choir Part 1,https://drive.google.com/file/d/1C-jEtLFMxm1oFcoKva3h6U7LzgREq9SG/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Best Service - Chris Hein Horns Vol.4 More Brass _ Woodwinds ,https://drive.google.com/file/d/1p1Q34XRekn_BEQSFiCjjMFaXDqgPeYKr/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Best Service - Chris Hein Horns Vol.3 Muted Brass ,https://drive.google.com/file/d/1h6APj_7s6ZxMyWWXr2hJCDApCSfEx98b/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Orchestral Tools - Berlin Brass Part 4,https://drive.google.com/file/d/1EoWzkZqzsHNYhGRWYO73JrYlcR6OcbHB/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Best Service - Chris Hein Horns Vol.2 Section ,https://drive.google.com/file/d/1o3ifmJHL6ARf3ESFdMhUrOmvxHH_8-Bp/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Orchestral Tools - Berlin Brass Part 2,https://drive.google.com/file/d/1P--HimCe-uVQZzrjfNHARP-mEYiTAnX5/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,8Dio - Lacrimosa Epic Choir Part 2,https://drive.google.com/file/d/1_Dx0HjlsF44qDqIzNBb4grWENFrJPry7/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Orchestral Tools - Berlin Brass Part 3,https://drive.google.com/file/d/1jm7uBlbQBCd4WqEBb3Hg6DkPfB774_y9/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Best Service - Chris Hein Horns Vol.1 Solo Instruments v1.5 ,https://drive.google.com/file/d/1WFs8v9xQzz_oToHoe1wOKj9BhweNwTO1/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Strezov Sampling - ARVA Children_s Choir,https://drive.google.com/file/d/1ly1wJnCHoWlY3D84n_er46qfvw1kAZkn/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Orchestral Tools - Berlin Brass Part 1,https://drive.google.com/file/d/1jGZZhcX-YX5-WN48pkZFg_XIqZ9iWG6x/view?usp=drivesdk,9/22/2018,4/20/2020
FALSE,Strezov Sampling - Freyja Female Choir v1.1,https://drive.google.com/file/d/1RXNAVyrSZkf7bazEwoNX9Jh3TNaL8Tof/view?usp=drivesdk,9/22/2018,4/20/2020
